Id,State,0 - 9,19 - 10,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 - 99,Unknown
0,United States,,,,,,,,,,,
1,Alabama,0,21,26,18,26,2,2,0,0,0,0
2,Alaska,,,,,,,,,,,
3,Arizona,1,161,275,198,93,44,16,1,0,0,104
4,Arkansas,26,2159,4027,3134,1698,1006,314,66,14,6,3003
5,California,,,,,,,,,,,
6,Colorado,56,3842,6676,4574,2067,1215,373,74,31,7,4660
7,Connecticut,4,745,1268,835,485,250,58,12,2,2,706
8,Delaware,23,1104,1455,787,357,270,61,11,7,1,1024
9,Florida,,,,,,,,,,,
10,Georgia,,,,,,,,,,,
11,Hawaii,,,,,,,,,,,
12,Idaho,13,619,1087,790,482,279,84,21,4,0,183
13,Illinois,9,517,949,390,145,88,17,5,2,0,623
14,Indiana,4,177,365,242,102,58,20,5,0,0,186
15,Iowa,19,1556,2618,1831,973,530,147,23,6,2,275
16,Kansas,7,1523,2735,1885,948,575,172,29,7,41,1259
17,Kentucky,27,2013,2951,2097,1084,591,170,32,5,3,873
18,Louisiana,6,393,804,627,327,228,67,16,2,0,725
19,Maine,0,86,197,153,78,38,12,2,1,1,2
20,Maryland,,,,,,,,,,,
21,Massachusetts,39,2529,5223,3787,2146,1418,421,117,27,38,505
22,Michigan,264,7004,13151,7678,4642,2848,905,187,35,63,2661
23,Minnesota,,,,,,,,,,,
24,Mississippi,,,,,,,,,,,
25,Missouri,24,1588,2868,1572,781,517,109,26,6,86,2966
26,Montana,9,577,1008,887,421,237,112,29,2,1,244
27,Nebraska,5,288,458,297,160,72,27,4,1,0,69
28,Nevada,,,,,,,,,,,
29,New Hampshire,16,455,745,533,314,183,63,12,2,1,50
30,New Jersey,,,,,,,,,,,
31,New Mexico,,,,,,,,,,,
32,New York,,,,,,,,,,,
33,North Carolina,,,,,,,,,,,
34,North Dakota,8,267,687,499,222,114,17,4,3,0,85
35,Ohio,141,6034,10529,5439,2708,1846,457,97,18,118,6071
36,Oklahoma,18,651,1293,1196,644,509,119,36,9,1,198
37,Oregon,21,1755,3219,2616,1236,777,207,50,10,4,896
38,Pennsylvania,0,39,47,28,12,10,1,0,0,0,1
39,Rhode Island,3,415,665,435,206,129,36,16,5,2,71
40,South Carolina,72,3652,7466,5405,2644,1611,528,140,23,5,3153
41,South Dakota,0,408,786,584,259,135,34,8,3,0,61
42,Tennessee,91,6550,13563,8171,4374,2645,859,184,34,7,8951
43,Texas,27,3643,5683,3619,1819,1117,350,83,20,26,3797
44,Utah,17,1196,1608,1445,689,425,119,24,7,8,516
45,Vermont,1,152,282,235,118,84,22,6,1,1,0
46,Virginia,56,3585,5471,3160,1576,1083,277,59,18,5,2706
47,Washington,38,4003,6887,4916,2149,1550,358,88,25,23,2597
48,West Virginia,17,513,1503,1253,750,445,142,38,7,9,487
49,Wisconsin,19,3287,6473,3081,1347,754,174,30,7,0,3324
50,Wyoming,,,,,,,,,,,
